region,week,Number of Facilities Reporting,Total Number of ED Visits,CLI Percent of Total Visits,ILI Percent of Total Visits,Number of Sites Reporting,Total Patient Visits,% of Total Visits for ILI (unweighted),% of Total Visits for ILI (weighted), Baseline,,,,,
Region 10,202037,204,"85,070",1.8,0.6,163,"58,059",0.8,0.7,1.5,,,,,
Region 10,202038,208,"84,633",1.8,0.6,166,"60,277",0.8,0.6,1.5,,,,,
Region 10,202039,205,"85,124",2,0.6,158,"60,597",0.9,0.8,1.5,,,,,
Region 10,202040,208,"84,580",2.1,0.7,179,"64,191",1.2,1,1.6,,,,, 
Region 10,202041,207,"88,326",2.5,0.8,181,"67,540",1.3,1.1,1.6,,,,,
Region 10,202042,207,"86,107",2.5,0.7,180,"64,289",1.1,0.9,1.6,,,,,
Region 10,202043,208,"85,050",2.9,0.8,180,"62,556",1.2,1,1.6,,,,,
Region 10,202044,205,"82,869",3.3,0.8,186,"63,276",1.2,1.1,1.6,,,,,
Region 10,202045,208,"86,621",4.1,0.9,186,"64,599",1.4,1.2,1.6,,,,,
Region 10,202046,208,"85,500",5,1.1,185,"64,749",1.5,1.3,1.6,,,,,
Region 10,202047,206,"84,624",6.2,1,184,"64,295",1.4,1.2,1.6,,,,,
Region 10,202048,208,"81,192",6.5,1,185,"57,874",1.4,1.2,1.6,,,,,
Region 10,202049,209,"81,813",6.3,0.9,182,"60,851",1.1,1,1.6,,,,,
Region 10,202050,209,"80,692",6.2,0.9,181,"58,728",1.2,1,1.6,,,,,
Region 10,202051,210,"81,354",5.8,0.8,178,"58,227",1,1,1.6,,,,,
Region 10,202052,208,"78,748",5.4,0.7,176,"55,066",1,0.9,1.6,,,,,
Region 10,202053,207,"84,077",5.3,0.7,179,"59,148",0.9,0.9,1.6,,,,,
Region 10,202101,208,"83,777",5,0.7,178,"60,768",0.9,0.8,1.6,,,,,
Region 10,202102,207,"82,279",4.5,0.6,179,"59,178",0.8,0.8,1.6,,,,,
Region 10,202103,209,"81,866",3.7,0.6,173,"58,742",0.7,0.7,1.6,,,,,
Region 10,202104,208,"83,065",3.1,0.5,175,"60,709",0.7,0.6,1.6,,,,,
