date,region,cases
29/02/2020,CA,6.104291150941253
07/03/2020,CA,5.453479700208582
14/03/2020,CA,5.661341793933635
21/03/2020,CA,4.729844211176129
28/03/2020,CA,2.049862908894547
04/04/2020,CA,1.1827085860692865
11/04/2020,CA,0.721769775761255
18/04/2020,CA,0.6404237013280843
25/04/2020,CA,0.6142669430231888
02/05/2020,CA,0.556024524550144
09/05/2020,CA,0.6257653014714428
16/05/2020,CA,0.20217405799348592
23/05/2020,CA,0.5453100109298941
30/05/2020,CA,0.5011344837738662
06/06/2020,CA,0.5050599081622456
13/06/2020,CA,0.5756283170779571
20/06/2020,CA,0.30614491853898523
27/06/2020,CA,0.30710366558249746
04/07/2020,CA,0.46402752427246124
11/07/2020,CA,0.5110663299610367
18/07/2020,CA,0.4499767437652657
25/07/2020,CA,0.5712435256811569
01/08/2020,CA,0.5313389665999031
08/08/2020,CA,0.3489477478640333
15/08/2020,CA,
22/08/2020,CA,
29/08/2020,CA,
05/09/2020,CA,
12/09/2020,CA,0.0
19/09/2020,CA,0.0
26/09/2020,CA,0.0
03/10/2020,CA,0.0
04/01/2020,CO,0.0
11/01/2020,CO,0.0
18/01/2020,CO,0.0
25/01/2020,CO,0.0
01/02/2020,CO,0.0
08/02/2020,CO,0.0
15/02/2020,CO,0.0
22/02/2020,CO,4.732386201116842
29/02/2020,CO,4.525468987497676
07/03/2020,CO,4.184124834022703
14/03/2020,CO,4.2842106549182635
21/03/2020,CO,3.8431817543152222
28/03/2020,CO,2.9127568752381054
04/04/2020,CO,1.4088372594337983
11/04/2020,CO,0.6616594333154187
18/04/2020,CO,0.23101824444187827
25/04/2020,CO,0.3324866994424766
02/05/2020,CO,0.11477246095847454
09/05/2020,CO,0.10405968363563092
16/05/2020,CO,0.06305446452823699
23/05/2020,CO,0.23787533435410937
30/05/2020,CO,0.08035602090405153
06/06/2020,CO,0.006811743240452269
13/06/2020,CO,0.00022866776564338075
20/06/2020,CO,0.03948632568504189
27/06/2020,CO,0.05478645657373548
04/07/2020,CO,0.21747394127057587
11/07/2020,CO,0.38821774564481554
18/07/2020,CO,0.44162212393794054
25/07/2020,CO,0.28269368849917614
01/08/2020,CO,0.37805849090099597
08/08/2020,CO,0.13714653856227546
15/08/2020,CO,
22/08/2020,CO,
29/08/2020,CO,
05/09/2020,CO,
12/09/2020,CO,0.0
19/09/2020,CO,0.0
26/09/2020,CO,0.0
03/10/2020,CO,0.0
04/01/2020,CT,0.0
11/01/2020,CT,0.0
18/01/2020,CT,0.0
25/01/2020,CT,0.0
01/02/2020,CT,0.0
08/02/2020,CT,0.0
15/02/2020,CT,0.0
22/02/2020,CT,6.882493561238706
29/02/2020,CT,5.406108305741578
07/03/2020,CT,5.021701461274334
14/03/2020,CT,5.672875571080038
21/03/2020,CT,5.136619678776914
28/03/2020,CT,3.639940724732052
04/04/2020,CT,2.751543130188194
11/04/2020,CT,1.7450675675903973
18/04/2020,CT,0.9536917421527195
25/04/2020,CT,0.9033533184125632
02/05/2020,CT,0.825719200873993
09/05/2020,CT,0.5063657300291926
16/05/2020,CT,0.3683142858233171
23/05/2020,CT,0.5211523742125325
30/05/2020,CT,0.413324254985861
06/06/2020,CT,0.5245239534109732
13/06/2020,CT,0.2469220896153093
20/06/2020,CT,0.42954218275733563
27/06/2020,CT,0.37686974772924464
04/07/2020,CT,0.3718053935081406
11/07/2020,CT,0.6015677418661142
18/07/2020,CT,0.36851826598425963
25/07/2020,CT,0.357858179246711
01/08/2020,CT,0.22336823669753458
08/08/2020,CT,0.2439114178265197
15/08/2020,CT,
22/08/2020,CT,
29/08/2020,CT,
05/09/2020,CT,
12/09/2020,CT,0.0
19/09/2020,CT,0.0
26/09/2020,CT,0.0
03/10/2020,CT,0.0
04/01/2020,DC,0.0
