date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wtravel_outside_state_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-06-27,202026,X,US,-15.285714285714286,-1.0,56.57142857142857,-27.428571428571427,-29.857142857142858,8.714285714285714,134.11714285714285,469.0,0.0,,,,,,,,4.5,170405.33333333334,10200.0,126133.0,3868.0,0.6046143571428572,0.6194119714285715,2511046.0,259717.0,4280266.0,400857.0,4689853.0
2020-07-04,202027,X,US,-13.714285714285714,2.5714285714285716,64.14285714285714,-27.714285714285715,-35.142857142857146,9.0,133.50285714285712,824.0,0.0,,,,,,,,5.9,173763.0,14304.333333333334,129801.0,3668.0,0.7405214428571429,0.7675729428571428,2846606.0,335560.0,4697198.0,525050.0,5233146.0
2020-07-11,202028,X,US,-15.714285714285714,-2.2857142857142856,52.57142857142857,-27.714285714285715,-31.857142857142858,8.857142857142858,135.9857142857143,960.0,0.0,,,,,,,,7.6,178810.66666666666,19411.0,135083.0,5282.0,0.6763143285714285,0.6913498714285714,3249989.0,403383.0,5343748.0,628834.0,5987184.0
2020-07-18,202029,X,US,-14.714285714285714,-1.4285714285714286,60.285714285714285,-28.142857142857142,-30.714285714285715,8.714285714285714,138.28857142857143,18510.0,0.0,,,,,,,,8.1,181165.66666666666,22615.0,140628.0,5545.0,0.7024192285714287,0.7161957571428571,3702781.0,452792.0,5895436.0,657654.0,6571618.0
2020-07-25,202030,X,US,-15.285714285714286,-3.0,57.0,-28.857142857142858,-30.857142857142858,8.714285714285714,138.64714285714285,32789.0,0.0,,,,,,,,7.6,183280.0,25186.333333333332,147106.0,6478.0,0.7175380857142858,0.7322686714285714,4165348.0,462567.0,6124804.0,631791.0,6788012.0
2020-08-01,202031,X,US,-14.571428571428571,-2.7142857142857144,57.57142857142857,-28.285714285714285,-31.285714285714285,8.428571428571429,140.2257142857143,38499.0,0.0,,,,,,,,6.9,183221.0,25389.0,155013.0,7907.0,0.6981561571428572,0.7171634571428571,4601264.0,435916.0,5721313.0,531536.0,6279217.0
2020-08-08,202032,X,US,-13.857142857142858,-2.5714285714285716,58.0,-28.142857142857142,-31.142857142857142,8.142857142857142,141.96714285714287,33252.0,0.0,,,,,,,,6.2,182113.66666666666,24309.666666666668,162272.0,7259.0,0.6789568142857143,0.7018009142857142,4990762.0,389498.0,5569367.0,443416.0,6029730.0
2020-08-15,202033,X,US,-14.714285714285714,-3.7142857142857144,56.285714285714285,-28.285714285714285,-31.0,7.714285714285714,144.07000000000002,31512.0,0.0,,,,,,,,5.6,182483.0,24267.0,169354.0,7082.0,0.6514791142857143,0.6756202571428572,5383022.0,392260.0,5613762.0,386437.0,6016380.0
2020-08-22,202034,X,US,-15.142857142857142,-4.571428571428571,50.142857142857146,-28.714285714285715,-30.142857142857142,7.714285714285714,142.65,30668.0,0.0,,,,,,,,5.2,180131.66666666666,22146.333333333332,175511.0,6157.0,0.6489037571428572,0.6603789142857143,5684711.0,301689.0,5521329.0,335760.0,5870962.0
2020-08-29,202035,X,US,-15.857142857142858,-5.571428571428571,41.142857142857146,-29.428571428571427,-29.571428571428573,8.0,136.69571428571427,29304.0,0.0,,,,,,,,4.4,176341.0,18230.333333333332,181814.0,6303.0,0.6626436428571428,0.6810569428571429,5975381.0,290670.0,5577634.0,327093.0,5917171.0
2020-09-05,202036,X,US,-13.428571428571429,-3.2857142857142856,48.714285714285715,-26.857142857142858,-29.857142857142858,6.714285714285714,139.90285714285716,27406.0,0.0,,,,,,,,4.0,174534.0,15782.333333333334,187630.0,5816.0,0.7420396428571429,0.7600702571428573,6261911.0,286530.0,5673554.0,313578.0,5999132.0
2020-09-12,202037,X,US,-15.714285714285714,-5.714285714285714,45.142857142857146,-30.142857142857142,-34.42857142857143,7.857142857142857,136.4828571428571,27623.0,0.0,,,,,,,,3.8,173160.33333333334,13777.0,192741.0,5111.0,0.6378786285714286,0.641687,6505629.0,243718.0,5340588.0,264033.0,5614090.0
2020-09-19,202038,X,US,-15.0,-6.0,38.714285714285715,-29.285714285714285,-27.0,6.857142857142857,135.47142857142856,24454.0,0.0,,,,,,,,3.8,173715.33333333334,13834.666666666666,198151.0,5410.0,0.6216379714285715,0.6317492571428572,6795236.0,289607.0,6405151.0,304620.0,6719380.0
2020-09-26,202039,X,US,-15.285714285714286,-6.428571428571429,32.57142857142857,-30.142857142857142,-26.428571428571427,6.857142857142857,131.42857142857142,24484.0,0.0,,,,,,,,4.2,176335.33333333334,15740.333333333334,203457.0,5306.0,0.6024305857142856,0.6155616999999999,7087847.0,292611.0,6516044.0,318106.0,6844067.0
2020-10-03,202040,X,US,-14.571428571428571,-5.0,22.285714285714285,-29.714285714285715,-25.714285714285715,6.571428571428571,128.8357142857143,26998.0,0.0,,,,,,,,4.4,174017.33333333334,13103.0,208290.0,4833.0,0.6355318571428571,0.6487288714285714,7388997.0,301150.0,6476494.0,330057.0,6815128.0
2020-10-10,202041,X,US,-15.142857142857142,-5.142857142857143,27.714285714285715,-29.0,-26.0,6.571428571428571,128.87,32666.0,0.0,,,,,,,,5.4,179294.66666666666,17155.0,213321.0,5031.0,0.7671919571428572,0.7908022857142858,7721503.0,332506.0,7596104.0,394730.0,8007116.0
2020-10-17,202042,X,US,-15.714285714285714,-6.285714285714286,21.285714285714285,-29.285714285714285,-26.571428571428573,7.428571428571429,128.60142857142858,36276.0,12.0,,,,,,,,6.2,175484.33333333334,12379.666666666666,218468.0,5147.0,0.8086301857142858,0.8290362857142858,8107591.0,386088.0,7109530.0,441311.0,7574173.0
2020-10-24,202043,X,US,-16.571428571428573,-6.857142857142857,14.714285714285714,-29.142857142857142,-25.142857142857142,7.285714285714286,126.11428571428571,41086.0,218.0,,,,,,,,7.4,179327.0,15080.333333333334,224235.0,5767.0,0.8439743571428571,0.8595325,8589742.0,482151.0,7956676.0,548591.0,8533980.0
2020-10-31,202044,X,US,-16.714285714285715,-5.714285714285714,1.8571428571428572,-31.142857142857142,-25.428571428571427,7.857142857142857,121.41428571428571,46070.0,428.0,,,,,,,,9.1,181971.33333333334,16742.666666666668,230168.0,5933.0,0.8836180857142857,0.9040916000000001,9157464.0,567722.0,8078411.0,652277.0,8761246.0
2020-11-07,202045,X,US,-16.571428571428573,-7.428571428571429,6.142857142857143,-32.57142857142857,-25.428571428571427,7.857142857142857,112.38285714285715,55394.0,477.0,,,,,,,,11.9,192649.0,25792.0,237389.0,7221.0,1.1903038857142858,1.2230554285714283,9924330.0,766866.0,8787867.0,887740.0,9700642.0
