date,region,cases
29/08/2020,Region 3,
05/09/2020,Region 3,
12/09/2020,Region 3,0.0
19/09/2020,Region 3,0.0
26/09/2020,Region 3,0.0
03/10/2020,Region 3,0.0
04/01/2020,Region 4,0.0
11/01/2020,Region 4,0.0
18/01/2020,Region 4,0.0
25/01/2020,Region 4,0.0
01/02/2020,Region 4,0.0
08/02/2020,Region 4,0.0
15/02/2020,Region 4,0.0
22/02/2020,Region 4,5.739471738046715
29/02/2020,Region 4,4.580741749434774
07/03/2020,Region 4,4.655728525954387
14/03/2020,Region 4,5.25536891020391
21/03/2020,Region 4,5.844258090851313
28/03/2020,Region 4,3.337758709159986
04/04/2020,Region 4,1.6447631763753523
11/04/2020,Region 4,1.1024480221270698
18/04/2020,Region 4,0.5863582530913928
25/04/2020,Region 4,0.44878628198219667
02/05/2020,Region 4,0.4061530428052046
09/05/2020,Region 4,0.24707761807395082
16/05/2020,Region 4,0.22046297812112542
23/05/2020,Region 4,0.36035713481406917
30/05/2020,Region 4,0.4040702265932351
06/06/2020,Region 4,0.3976850614118923
13/06/2020,Region 4,0.4397715781522821
20/06/2020,Region 4,0.35626536451101004
27/06/2020,Region 4,0.35662788341970925
04/07/2020,Region 4,0.47251938224317763
11/07/2020,Region 4,0.7132654946278519
18/07/2020,Region 4,0.6514704889334844
25/07/2020,Region 4,0.5354517395981775
01/08/2020,Region 4,0.4015822482159541
08/08/2020,Region 4,0.5135410482788937
15/08/2020,Region 4,
22/08/2020,Region 4,
29/08/2020,Region 4,
05/09/2020,Region 4,
12/09/2020,Region 4,0.0
19/09/2020,Region 4,0.0
26/09/2020,Region 4,0.0
03/10/2020,Region 4,0.0
04/01/2020,Region 5,0.0
11/01/2020,Region 5,0.0
18/01/2020,Region 5,0.0
25/01/2020,Region 5,0.0
01/02/2020,Region 5,0.0
08/02/2020,Region 5,0.0
15/02/2020,Region 5,0.0
22/02/2020,Region 5,7.804318893585584
29/02/2020,Region 5,6.49380840790401
07/03/2020,Region 5,5.508806211813271
14/03/2020,Region 5,5.2814712181092
21/03/2020,Region 5,5.20326668326213
28/03/2020,Region 5,3.14062703489651
04/04/2020,Region 5,1.3569805677524072
11/04/2020,Region 5,0.6765040869581057
18/04/2020,Region 5,0.40726812735701384
25/04/2020,Region 5,0.3647833107643758
02/05/2020,Region 5,0.29859150813624646
09/05/2020,Region 5,0.22477299053511035
16/05/2020,Region 5,0.1915706016184417
23/05/2020,Region 5,0.15516276943622256
30/05/2020,Region 5,0.167364289051475
06/06/2020,Region 5,0.06625719734966973
13/06/2020,Region 5,0.12418126753355906
20/06/2020,Region 5,0.0255756280102467
27/06/2020,Region 5,0.12744738828378793
04/07/2020,Region 5,0.17761558263206073
11/07/2020,Region 5,0.11126322133706268
18/07/2020,Region 5,0.31803953378235367
25/07/2020,Region 5,0.4019827595820243
01/08/2020,Region 5,0.3613833623319154
08/08/2020,Region 5,0.2616067805813487
15/08/2020,Region 5,
22/08/2020,Region 5,
29/08/2020,Region 5,
05/09/2020,Region 5,
12/09/2020,Region 5,0.0
19/09/2020,Region 5,0.0
26/09/2020,Region 5,0.0
03/10/2020,Region 5,0.0
04/01/2020,Region 6,0.0
11/01/2020,Region 6,0.0
18/01/2020,Region 6,0.0
25/01/2020,Region 6,0.0
01/02/2020,Region 6,0.0
08/02/2020,Region 6,0.0
15/02/2020,Region 6,0.0
22/02/2020,Region 6,6.177940393053843
29/02/2020,Region 6,5.725158988620466
07/03/2020,Region 6,5.276845914585153
14/03/2020,Region 6,4.640885296882696
21/03/2020,Region 6,4.22242051785649
28/03/2020,Region 6,2.7835238089297114
04/04/2020,Region 6,1.5562809846410224
11/04/2020,Region 6,0.8671960638635675
18/04/2020,Region 6,0.6848475568934849
25/04/2020,Region 6,0.44255072262699513
02/05/2020,Region 6,0.17747875074488567
09/05/2020,Region 6,0.23807695340253657
16/05/2020,Region 6,0.17820561693238166
23/05/2020,Region 6,0.19758701836915174
30/05/2020,Region 6,0.4022907506173469
06/06/2020,Region 6,0.12633655553541803
13/06/2020,Region 6,0.2634232240293488
20/06/2020,Region 6,0.1862087369916019
27/06/2020,Region 6,0.38061103361318477
04/07/2020,Region 6,0.7222488032133949
11/07/2020,Region 6,0.9750678244233378
18/07/2020,Region 6,0.45128921599080446
25/07/2020,Region 6,0.40025277757950484
01/08/2020,Region 6,0.16300794323536594
08/08/2020,Region 6,0.17506414926264785
15/08/2020,Region 6,
22/08/2020,Region 6,
29/08/2020,Region 6,
05/09/2020,Region 6,
12/09/2020,Region 6,0.0
19/09/2020,Region 6,0.0
26/09/2020,Region 6,0.0
03/10/2020,Region 6,0.0
04/01/2020,Region 7,0.0
11/01/2020,Region 7,0.0
18/01/2020,Region 7,0.0
25/01/2020,Region 7,0.0
