date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-09-26,202039,OK,40,-7.714285714285714,-0.8571428571428571,45.857142857142854,-2.0,-19.857142857142858,4.285714285714286,141.35428571428574,801.0,,,,,,,,,,879.0,137.0,1004.0,61.0,0.9215341428571429,0.8925747571428572,83510.0,7706.0,41682.0,10390.0,52298.0
2020-10-03,202040,OK,40,-5.142857142857143,1.8571428571428572,39.0,0.42857142857142855,-19.285714285714285,3.5714285714285716,139.68142857142854,899.0,0.0,,,,,,,,,822.0,75.0,1051.0,47.0,1.0379463714285715,1.0304376285714287,90748.0,7238.0,41535.0,10749.0,52331.0
2020-10-10,202041,OK,40,-7.285714285714286,1.0,42.57142857142857,0.2857142857142857,-19.571428571428573,3.7142857142857144,139.37857142857143,1151.0,0.0,,,,,,,,,929.6666666666666,172.66666666666666,1095.0,44.0,1.3343839571428573,1.3504859857142857,98621.0,7873.0,29776.0,9654.0,39474.0
2020-10-17,202042,OK,40,-7.857142857142857,-0.42857142857142855,44.57142857142857,1.7142857142857142,-22.428571428571427,5.0,140.90714285714287,1254.0,0.0,,,,,,,,,824.3333333333334,69.33333333333333,1162.0,67.0,1.228571642857143,1.2220799142857144,106468.0,7847.0,34429.0,9691.0,44159.0
2020-10-24,202043,OK,40,-10.428571428571429,-2.857142857142857,17.142857142857142,-1.4285714285714286,-19.142857142857142,5.0,135.0014285714286,1425.0,14.0,,,,,,,,,888.3333333333334,124.33333333333333,1245.0,83.0,1.588141057142857,1.5632868285714285,115685.0,9217.0,40453.0,10628.0,51128.0
2020-10-31,202044,OK,40,-11.285714285714286,-3.5714285714285716,-7.857142857142857,-7.0,-25.142857142857142,5.0,123.39571428571429,1366.0,8.0,,,,,,,,,970.0,203.0,1337.0,92.0,1.4621108714285715,1.5658657142857142,122762.0,7077.0,34370.0,9639.0,44045.0
2020-11-07,202045,OK,40,-5.285714285714286,0.5714285714285714,21.714285714285715,-2.2857142857142856,-18.0,3.2857142857142856,129.4442857142857,1576.0,12.0,,,,,,,,,963.6666666666666,189.66666666666666,1429.0,92.0,1.6054473999999999,1.7746800571428571,131751.0,8989.0,38193.0,14858.0,53102.0
2020-11-14,202046,OK,40,-9.428571428571429,-3.0,6.571428571428571,-4.571428571428571,-19.714285714285715,5.714285714285714,121.50142857142856,1793.0,16.0,,,,,,,,,979.6666666666666,193.66666666666666,1516.0,87.0,1.7522129142857144,1.7570697285714285,150205.0,18454.0,48400.0,18095.0,66591.0
2020-11-21,202047,OK,40,-11.142857142857142,-1.7142857142857142,6.857142857142857,-2.857142857142857,-20.571428571428573,6.285714285714286,121.10714285714286,2285.0,14.0,,,,,,,,,1046.6666666666667,251.66666666666666,1624.0,108.0,1.7543562142857145,1.7935041999999999,170924.0,20719.0,63066.0,20496.0,83636.0
2020-11-28,202048,OK,40,-19.428571428571427,-3.2857142857142856,-0.42857142857142855,-11.142857142857142,-38.142857142857146,10.285714285714286,109.79,2377.0,11.0,,,,,,,,,1023.3333333333334,235.33333333333334,1717.0,93.0,1.7309157857142858,1.744432742857143,193824.0,22900.0,42045.0,14872.0,56957.0
